vendor_name,legal_name,headquarters_address,address,rcs_number,vat_number,social_capital,eu_contact_name,eu_contact_address,eu_contact_country,eu_contact_email
Sud Web Diffusion - Ritchie Jeans & Dona Lisa,SUD WEB DIFFUSION,"19 avenue Paul Heroult, 13015 MARSEILLE","19 avenue Paul Heroult, 13015 MARSEILLE",Marseille 537 695 033,FR40537695033,20 000 €,COHEN LIONEL,"330 impasse feuillantines, 13011 Marseille",,lionel@ritchie89.com
Garance Paris,MAISON 2L - GARANCE,"16 Rue de Charonne, 75011 PARIS","16 Rue de Charonne, 75011 PARIS",PARIS 803591643,FR88803591643,8 000 €,MAISON 2L,16 RUE DE CHARONNE 75011 PARIS,,Vincent@garanceparis.com
Labdip,AFFLUENCE TRADING COMPANY,"58 rue Amelot, 75011 PARIS","58 rue Amelot, 75011 PARIS",Paris 530 519 529,FR 59 530 519 529,10 000€,AFFLUENCE TRADING COMPANY,"58 Rue Amelot, 75011 Paris",,j.wu@affluencetc.com
Shilton,SARL MGM 67,Lieudit Les Barres 34310 QUARANTE,Lieudit Les Barres 34310 QUARANTE,BEZIERS 414 080 788,FR42414080788,110 000 €,Matthieu Maurel,3 avenue Jules Ferry 34370 Maureilhan,,matt@shilton.fr
THE-ARE,YOUANDI INFINITE SL,"C/ LA SAFOR 5 MANISES 46940-VALENCIA, SPAIN","C/ LA SAFOR 5 MANISES 46940-VALENCIA, SPAIN",B98962038 VALENCIA,ESB98962038,20.000 €,Youandi Infinite S.L.,"C/ La Safor 5, 46940 Manises, Valencia, España",,contact@the-are.com
CCV,CCV SAS,"47 Boulevard Alexandre III, 59140 DUNKERQUE","Zone Inova, 10 Allée 9, 88150 CAPAVENIR",DUNKERQUE 333 354 645,FR58333354645,19 333 467 €,Julien Gladstein,"47 BOULEVARD ALEXANDRE III, 59140 DUNKERQUE",,juliengladstein@yahoo.fr
JMP by Jean-Marc Philippe,Jean-Marc Philippe SA,"135 boulevard Sébastopol, 75002 PARIS","135 boulevard Sébastopol, 75002 PARIS",Paris 325 372 878,FR 80 325 372 878,192 000 €,Philippe Memmi,135 blvd Sébastopol 75002 Paris,,philippe@jeanmarcphilippe.com
Chantelle,CHANTELLE SA,8/10 RUE DE PROVIGNY 94230 CACHAN,8/10 RUE DE PROVIGNY 94230 CACHAN,CRETEIL 562 053 694,FR06562053694,"2 100 214,10 €",Chantelle Lingerie,8-10 Rue de Provigny 94230 CACHAN FRANCE,France,service-client.marketplace@groupechantelle.com
Lingadore,KOOS MENDELS MODE.B.V. – MENDELS FASHION GROUP,"Helmkamp 46F, 7091 HR Dinxperlo, The Netherlands","Helmkamp 46F, 7091 HR Dinxperlo, The Netherlands",,NL 803882786B01,18.000 €,Mendels Fashion Group,"Helmkamp 46F, 7091HR Dinxperlo, The Netherlands",,info@lingadore.com
Réservoir Mode,RESERVOIR MODE,25 rue Frédéric Bastiat 40000 Mont de Marsan,25 rue Frédéric Bastiat 40000 Mont de Marsan,500 703 640,FR69500703640,40.000 €,Stephane DERRIEN,25 rue Frédéric Bastiat 40000 MONT DE MARSAN FRANCE,,commercial@reservoir-mode.com
Well,CSP PARIS FASHION GROUP SAS,"68, rue Henri Matisse 02230 FRESNOY LE GRAND","68, rue Henri Matisse 02230 FRESNOY LE GRAND",SAINT QUENTIN 410 317 267,FR85410317267,588 939 €,Patrice Savio,590 route du Pont de la Croix 30120 Le Vigan,,patrice.savio@cspparis.fr
MKT Studio,JANN-K CREATIONS,"23 Quai de la Seine, 75019 Paris, France","39 rue Anatole France , 92300 Levallois-Perret",Paris 532 625 886,FR65532625886,100 000€,JANN-K CREATIONS,"23 Quai de la Seine, 75019 Paris, France",France,commercial@mktstudio.com
Rica Lewis,RICA LEVY INTERNATIONAL,ZI de Carros - 6001 M - 1ère avenue - 06510 CARROS,ZI de Carros - 6001 M - 1ère avenue - 06510 CARROS,Grasse 341 159 507,FR08341159507,3 500 000€,RICA LEVY INTERNATIONAL,ZI de Carros - 1ère avenue - 6001M -06510 CARROS,,contact@ricalewis.com
Wortmann Fashion Retail,WORTMANN FASHION RETAIL GMBH & CO. KG,"Klingenbergstr 1-3, 32758 DETMOLD, ALLEMAGNE","Klingenbergstr 1-3, 32758 DETMOLD, ALLEMAGNE",Amtsgericht Lemgo HRA4921,DE271167841,2 500 000€,Wortmann Fashion Retail GmbH & Co. KG,"Klingenbergstraße 1-3, 32758 Detmold, Allemagne",,service@wortmann.com
Mode & Maison Network,TSG LAB SAS,"8 Rue du Sentier, 75002 Paris","8 Rue du Sentier, 75002 Paris",Paris 901 950 774,FR86901950774,97 318 €,TSG Lab,"8 Rue du Sentier, 75002, Paris, Frnace",,demanders@stockly.ai
Eram,CHAUSSURES ERAM SASU,"Route de Chaudron en Mauges, Saint Pierre Montlimart 49111 MONTREVAULT SUR","Route de Chaudron en Mauges, Saint Pierre Montlimart 49111 MONTREVAULT SUR",ANGERS 833 590 706,FR95833590706,54 414 000€,Marie-line Nerrière,"Route de Chaudron, 49111 Saint Pierre Montlimart",,mnerriere@eram.fr
Kickers,ROYER RETAIL SAS,"1 RUE EUGENE FREYSSINET, 35133 JAVENE",51 AVENUE DU MARECHAL LECLERC 49300 CHOLET,RCS Rennes 439 723 859,FR10439723859,110 000  €,Groupe Royer,1 rue Eugène Freyssinet – ZI de l’Aumaillerie 35133 JAVENE,,www.grouperoyer.com
Vanessa Wu,TALARIA,"60 rue Amelot, 75011 PARIS","60 rue Amelot, 75011 PARIS",PARIS 811 488 576,FR92811488576,10 000 €,Lirenn Diffusion,3 rue Eugène Houdry 95410 Groslay,France,legal@vanessawu.fr
Via Vai Shoes,VIA VAI SHOES BV,"Tielenstraat 13, 5145 Waalwijk, Netherlands","Tielenstraat 13, 5145 Waalwijk, Netherlands",64911004,NL855898859B01,1€,VIA VAI SHOES BV,"Tielenstraat 13, 5145 Waalwijk, Netherlands",Pays-Bas,Dirk@viavaishoes.com
Falc Spa,FALC SPA France SA,"9, Rue du Dragon, Paris","C.Da San Domenico 24, 62012 Civitanova Marche, Italy",Paris 504 711 433,FR 07504711433,"6 000.000,00 €",Falc S.p.A.,C.Da San Domenico 24 62012 Civitanova Marche Italy,,gspr@falc.biz
Xtistore,XDC EUROPE DISTRIBUTION S.L,"P.I Las Teresas C/ Miguel Servet, S/N 30510 YECLA  ESPAGNE","P.I Las Teresas C/ Miguel Servet, S/N 30510 YECLA  ESPAGNE",MURCIA B73961971,ESB73961971,3 000€,XTI FOOTWEAR S.L,"P.I LAS TERESAS C/ MIGUEL SERVET, 15, XTI",,GPSR@XTI.ES
Zèta,ZETA SHOES,"7 allées de Chartres, 33000 Bordeaux","7 allées de Chartres, 33000 Bordeaux",Bordeaux 889 329 157,FR58889329157,6 000 €,Laure Babin,41 rue Saint-Francois 33000 Bordeaux,,laure@zeta-shoes.com
Bocage,BOCAGE SAS,"Route de Chaudron en Mauges, Saint Pierre Montlimart 49111 Montrevault Sur Evre","Route de Chaudron en Mauges, Saint Pierre Montlimart 49111 Montrevault Sur Evre",ANGERS 689 800 225,FR 68 689 800 225,17 944 830 €,Charlotte Biotteau,"Route de Chaudron, 49111 Saint Pierre Montlimart",,cbiotteau@montlimart.com
Camper,BINIARAIX Manufacturing S.L.U,"C/ Cuartel, 91, 07300, Inca. Mallorca, Illes Balears SPAIN","C/ Cuartel, 91, 07300, Inca. Mallorca, Illes Balears SPAIN",PARIS 602 040 412,ESB57687295,8 360 000€,Victori,"Carrer Quarter 91, 07300, Inca. Mallorca",Espagne,oa@camper.com
Gabor Shop,STEINMETZ DISTRIBUTION SAS,19 Rue Trubner  67000 STRASBOURG,19 Rue Trubner  67000 STRASBOURG,STRASBOURG 791 511 892,FR35791511892,200 000 €,Laetitia Steinmetz,19 Rue Trubner 67000 Strasbourg FRANCE,,laetitia.steinmetz@groupe-steinmetz.com
CLEON FOOTWEAR & CO,BELAIR DIGITAL SAS,ZI de La Noue 49740 LA ROMAGNE,ZI de La Noue 49740 LA ROMAGNE,853 733 772,FR39853733772,100 000 €,Emmanuelle Cléon,"IMPASSE DE LA NOUE, 49740 La ROMAGNE",,cleon@cleon.com
Martinelli,PIKOSTORE S.L.U,"Galileo Galilei, 2 - Elche Parque Industrial, 03203 Elche (Alicante) Spain","Galileo Galilei, 2 - Elche Parque Industrial, 03203 Elche (Alicante) Spain",Alicante B53906590,ESB53906590,"652 985,4 €",PIKOLINOS INTERCONTINENTAL SA,Galileo Galilei 2 Elche Elche Parque Industrial 03203 Alicante SPAIN,,infoproducts@pikolinos.com
Mellow Yellow,B.B.L SAS,"90 rue de Rivoli, 75004 PARIS","90 rue de Rivoli, 75004 PARIS",PARIS B 445 047 194,FR32445047194,3 040 000 €,Armelle Griveaux,90 rue de Rivoli 75004 Paris,,armelle@mellowyellow.com
Mephisto Shoes,STEINMETZ CHAUSSEUR SAS,19 rue trubner 67000 STRASBOURG,19 rue trubner 67000 STRASBOURG,STRASBOURG 388 682 262,FR01388682262,300 000 €,Claude Steinmetz,"19 RUE TRUBNER, 67000 STRASBOURG",,service.fr@mephisto.com
Odaje,ONAPP SAS,"32 RUE DE PARADIS, 75010 PARIS","32 RUE DE PARADIS, 75010 PARIS",PARIS B 750 923 385,FR 69 750 923 385,"32 643,13 €",ONAPP,"32 rue de Paradis, 75010 Paris",,rgpd@odaje.com
adidas,ADIDAS FRANCE,"1 allée des Orcades, 67000 STRASBOURG",Hoogoorddreef 9A - 1101BA Amsterdam – The Netherlands,085 480 069,FR58085480069,,adidas BV,"Hoogoorddreef 9a, 1101BA Amsterdam, NL",,spartner_adidas_en@onlineshop.adidas.co.uk​
Isotoner,TOTES ISOTONER SAS,15140 SAINT-MARTIN-VALMEROUX,41 rue de villiers 92200 Neuilly-sur-seine,AURILLAC 406 320 135,FR23406320135,1 229 690 €,Totes Isotoner,3 rue du Foirail Saint Martin Valmeroux 15140,,contact@web-isotoner.fr
Angarde,FRENCH PALS,"69 rue d'Aboukir, 75002 Paris, France","69 rue d'Aboukir, 75002 Paris, France",Paris 801117417,FR44801117417,25 878€,Linda Godroli,"69 rue d'Aboukir	, 75002 Paris",France,linda@angarde.fr
BILLYBELT,BILLYTEX SAS,40 av Paul Langevin 59910 BONDUES,40 av Paul Langevin 59910 BONDUES,LILLE METROPOLE 789 063 344,FR07789063344,50 000.00 €,Quentin Gaveau,40 avenue Paul Langevin 59910 BONDUES,,q.gaveau@billybelt.com
Dune London,THE DUNE GROUP LIMITED,"11 Evesham St, London W11 4AJ","11 Evesham St, London W11 4AJ",795 935 364,GB 108262239,190 000 000 €,Dune Shoes Ireland Ltd,"3rd Floor Ulysses House,  Foley Street, Dublin, D01 W2T""",,www.dunelondon.com
Sacha,TS-702 S.A.R.L.,"4/14 Rue Ferrus, 75014 Paris","4/14 Rue Ferrus, 75014 Paris",PARIS 843055914,FR 36 843055914,6.000 €,Sacha,"Magistratenlaan 42, 5223 MD 's-Hertogenbosch, The Netherlands",,service@sacha-shoes.com
Alma en Pena,ALMA EN PENA,"Calle Jose Echegaray 11, 28232 MADRID, Espagne, Spain","Calle Jose Echegaray 11, 28232 MADRID, Espagne, Spain",Madrid B02408011,ESB02408011,249215€,JOSE MANUEL GIL ROLDAN,"C/JARAS,101. LAS ROZAS DE MADRID. 28223.",Espagne,atencioncliente@almaenpena.es
CACATOÈS,JOKA SAS,"1 RUE CHARLES TELLIER, 13014 MARSEILLE","1 RUE CHARLES TELLIER, 13014 MARSEILLE",Marseille 814269940,FR50814269940,"140 000,00 €",SAS JOKA,1 RUE CHARLES TELLIER,France,HELP@MYCACATOES.COM
Lemon Jelly,DESIGN E MORE S.A.,"Rua das Casas Queimadas 567, 4415-439 Grijó, VILA NOVA DE GAIA (PORTUGAL)","Rua das Casas Queimadas 567, 4415-439 Grijó, VILA NOVA DE GAIA (PORTUGAL)",PT 508851661,PT508851661,500 000€,"Design e More, S.A.","Rua Das Casas Queimadas 567, 4415-439 Vila Nova De Gaia, Portugal",,cs@lemonjelly.com
Pikolinos,PIKOSTORE S.L.U,"Galileo Galilei, 2 - Elche Parque Industrial, 03203 Elche (Alicante) Spain","Galileo Galilei, 2 - Elche Parque Industrial, 03203 Elche (Alicante) Spain",Alicante B53906590,ESB53906590,"652 985,4 €",PIKOLINOS INTERCONTINENTAL SA,Galileo Galilei 2 Elche Elche Parque Industrial 03203 Alicante SPAIN,,infoproducts@pikolinos.com
Bons Baisers,BONS BAISERS DE PANAME SAS,15 rue Monsigny 75002 Paris,15 rue Monsigny 75002 Paris,PARIS B 828 275 420,FR67828275420,100 000 €,Chen Luc,86 avenue François Molé,,luc@bonsbaisersdepaname.com
Shoes & Style,SHOES10,"3 rue Brûlard, 10000 TROYES","3 rue Brûlard, 10000 TROYES",RCS Troyes 498 480 029,FR23498480029,20 000€,Sébastien GIOFFRED,3 rue Brulard,,commercial@usine23.com
Jules & Jenn,JULES & JENN,"1 rue du Conditionnement, 81200 AUSSILLON, France","1 rue du Conditionnement, 81200 AUSSILLON, France",Castres 533517660,FR30533517660,262 200€,JULES & JENN SAS,"1 rue du conditionnement, 81200 Aussillon",,bonjour@julesjenn.com
Maison Toufet,PARISLONDONING,"6 IMPASSE FRANCHEMONT, 75011 Paris, France","6 IMPASSE FRANCHEMONT, 75011 Paris, France",PARIS 532 675 378,FR34532675378,10 000 €,Toufet,6 Impasse Franchemont - 75011 - PARIS,,bonjour@maisontoufet.com
Schmoove,RAUTUREAU APPLE SHOES SAS,2 rue des Boutons d'Or 85130 LA GAUBRETIÈRE,Route des Bois 85130 LA GAUBRETIÈRE,La Roche sur Yon 302 640 008,FR36302640008,5 297 875 €,RAUTUREAU APPLE SHOES,2 RUE DES BOUTONS D’OR 85130 LA GAUBRETIERE,,contact@schmoove.fr
Rieker Online,C.C.V SAS,"47 Boulevard Alexandre III, 59140 Dunkerque France","Zone Inova, 10 Allée 9, 88150 Capavenir Vosges",DUNKERQUE 333 354 645,FR 58 333 354 645,19 333 467 €,Philippe Gladstein,"9 RUE DU STADE, 85130 LES LANDES-GENUSSON",,contact@riekershop.fr
Gabrielle Paris,GABRIELLE SARL,27 A rue de la liberté 59650 VILLENEUVE D’ASCQ,5 allée des écuries 59650 VILLENEUVE D’ASCQ,LILLE METROPOLE 818 438 590,FR81 818438590,31 350 €,JULIE SAUVAGE,5 allée des écuries 59493 Villeneuve d'ascq,,julie@gabrielle-paris.com
Edisac,REFLEX SAS,"Parc d’activité de la verte rue, allée des prêles - 59270 BAILLEUL","Parc d’activité de la verte rue, allée des prêles - 59270 BAILLEUL",DUNKERQUE 522 043 348,FR 66 522 043 348,100 000 €,AD International,"432 Allée des Prêles, Parc d'activité de la verte rue, 59270 Bailleul",,information@edisac.com
Hedgren,HEDGREN CREATIONS SA,13/17 Rue de la Vanne 92120 MONTROUGE,13/17 Rue de la Vanne 92120 MONTROUGE,PARIS 523 418 929,FR41523418929,8 655 344 €,Benjamin Mennes,"Hedgren 5th floor, Ankerrui 2 2000 Antwerp Belgium",,info@hedgren.com
Calida,REICH ONLINE SOLUTIONS GMBH,"Hogeringer Strasse . 27, DE 83071 Stephanskirchen - Allemagne","Hogeringer Strasse. 27, DE 83071 Stephanskirchen - Allemagne",Traunstein HRB 19548,DE 815 128 474,25 000 EUR,Calida Group Digital GmbH,"Gewerbepark BWB 2, 83052 Bruckmühl, Deutschland",,service@calida.com
Jan Vanderstorm,Vanderstorm Ventures GmbH & Co. KG,"Chausseestr. 86, 10115 BERLIN","Chausseestr. 86, 10115 BERLIN",,DE294957398,26.000€,Tobias Kohm,"Andreasstr. 72, 10243 Berlin",,t.kohm@vanderstorm-ventures.com
DC Shoes,EMERALD COAST,162 Rue Belharra – 64500 SAINT-JEAN-DE-LUZ,162 Rue Belharra – 64500 SAINT-JEAN-DE-LUZ,Bayonne 412 730 848,FR69412730848,11 314 005 €,Napali et Emerald,162 rue Belharra 64500 Saint Jean de Luz,,customer@info-product.eu
EMINENCE ATHENA,SAS EMINENCE,Route de Gallargues BP30 30470 AIMARGUES,Route de Gallargues BP30 30470 AIMARGUES,NIMES 350 169 124,FR03350169124,"22 233 712,20 €",Antonio Iandolo,Route de Gallargue - 30470 Aimargues,,marketplace@eminence.fr
Petrol Industries,PETROL INDUSTRIES B.V.,"Kalundborg 6, 5026 SE Tilburg PAYS-BAS","Kalundborg 6, 5026 SE Tilburg PAYS-BAS",TILBURG 180 689 20,NL811673340B01,18 000,Petrol Industries B.V.,Kalundborg 6 5026 SE Tilburg The Netherlands,,webshop@petrolindustries.com
Pullin,LYL SAS,95 RUE DES VANNIERS 40150 SOORTS-HOSSEGOR,95 RUE DES VANNIERS 40150 SOORTS-HOSSEGOR,DAX 501 226 187,FR93501226187,"987 602,33 €",LYL,95 RUE DES VANNIERS 40150 SOORTS-HOSSEGOR,,info@pull-in.com
Vendredi Swimwear,ELEOLINE,"11 ruette aux loups, 69660 Collonges au Mont d'Or, France","11 ruette aux loups, 69660 Collonges au Mont d'Or, France",LYON 879 577 963,FR27879577963,3920 €,Anne-Claire Gautheron,"11 ruette aux loups, 69960 Collonges au mont d'or",France,anneclaire@vendredi-swimwear.fr
Gentleman Farmer,VESTINVEST SAS,"38 avenue de Bobigny, 93130 NOISY-LE-SEC","38 avenue de Bobigny, 93130 NOISY-LE-SEC",Bobigny 539 323 592,FR21539323592,3 000 €,Hugo Rouillon,128 rue d’aguesseau Boulogne Billancourt 92100,,hugo.ROUILLON@vestiti.fr
La Canadienne,LA CANADIENNE SAS,19 Bis quai Victor Augagneur 69003 LYON,19 Bis quai Victor Augagneur 69003 LYON,LYON 328 062 286,FR 38 328 062 286,50 000 €,Jean-Sébastien VEILLEUX,19 bis quai victor augagneur 69003 LYON France,France,direction@la-canadienne.com
Schott,GROUPE JAJ SA,25 RUE DE ROMAINVILLE 93100 MONTREUIL,25 RUE DE ROMAINVILLE 93100 MONTREUIL,Bobigny 592 013 155,FR32592013155,3 560 939€,GROUPE JAJ SA,25 rue de Romainville 93100 Montreuil,,sav@schott-nyc.fr
Across,SARL PIXEL,"181 rue jean Monnet, 59170 CROIX","181 rue jean Monnet, 59170 CROIX",LILLE 838 458 867,FR64838458867,10 000 €,ROMAIN WIECHA,3 ALLEE JEAN MONNET,,romainwiecha@gmail.com
Faguo,FAGUO SAS,"2 rue du Président Edouard Herriot, 44000 NANTES","2 rue du Président Edouard Herriot, 44000 NANTES",Nantes 508 822 665,FR56508822665,17 000€,Nicolas Rohr,2 rue du Président Edouard Herriot 44000 Nantes,,nicolas@faguo.fr
MCS,CENTRAL WAY SAS,"112 rue Réaumur, 75002 PARIS","112 rue Réaumur, 75002 PARIS",Paris 394 679 690,FR46394679690,37 000€,MCS,"112 rue Reaumur, 75002 Paris",,contact@mcsapparel.fr
Redskins,NAGAD SAS,"7 rue Papillon, 75009 Paris","31 quai des Gresillons, 92230 Gennevilliers",Paris 522 988 989,FR30522988989,13 000€,Aboujedid Baia,"7 RUE PAPILLON, 75009 PARIS",,t.aboujedid@redskins.fr
Kids around,Children Worldwide Fashion SAS,"6 Rue de la Tisonnière, 85500 Les Herbiers","6 Rue de la Tisonnière, 85500 Les Herbiers",421 994 658,FR29421994658,"8 211 560, 75 €",CWF CHILDREN WORLDWIDE FASHION,"6 rue de la Tisonnière, 85500 Les Herbiers, France",,hello@us.kidsaround.com
La Manufacture de Layette,MANUFACTURE DE LAYETTE ET TRICOTS TECHNIQUES,"934 AV du Champ de Foire, 42130 Sainte-Agathe-la-Bouteresse, France","934 AV du Champ de Foire, 42130 Sainte-Agathe-la-Bouteresse, France",SAINT ETIENNE 885 550 251,FR21885550251,286 363 EUR,Arnaud de Belabre,934 AVENUE DU CHAMP DE FOIRE 42130 SAINTE-AGATHE-LA-BOUTERESSE,France,support@mlt.fr
So Chic Brands,EURL STYLE NETWORK INTERNATIONAL,29 boulevard Gay Lussac 13014 MARSEILLE,29 boulevard Gay Lussac 13014 MARSEILLE,502 079 460,FR 825 020 794 60,1 876 500 €,Style Network International,"29, Boulevard Gay Lussac 13014 MARSEILLE (France)",,ammarmichael@gmail.com
Petit Béguin,TLA Diffusion,Zone industrielle de la Pilaterie 26 A rue des Chateaux 59290 Wasquehal France,Zone industrielle de la Pilaterie 26 A rue des Chateaux 59290 Wasquehal France,LILLE 823 978 457,FR 908 239 784 57,100 000 €,TLA Diffusion,"26A rue des châteaux, 59290 Wasquehal",,service-clients@petit-beguin.fr
Sucre d'orge,GROUPE SALMON ARC EN CIEL SAS,"49 rue de Vendée, Villedieu-La-Blouère, 49450 BEAUPREAU EN MAUGES","49 rue de Vendée, Villedieu-La-Blouère, 49450 BEAUPREAU EN MAUGES",Angers 349 773 697,FR32349773697,4 800 048 €,GROUPE SALMON ARC EN CIEL SAS,"49 rue de Vendée, 49450 VILLEDIEU LA BLOUERE",,adv@gsa.fr
Tichoups,HDS TICHOUPS SARL,44 Avenue de Flandre 59700 MARCQ-EN-BAROEUL,44 Avenue de Flandre 59700 MARCQ-EN-BAROEUL,LILLE 512 903 725,FR90512903725,98 000 €,Decoster,205A chemin des peupliers 59700 Marcq en Baroeul,,contact@tichoups.com
Zippy,ZIPPY- COMÉRCIO E DISTRIBUIÇÃO S.A.,"Rua João Mendonça, 529   4464 503 SENHORA DA HORA – MATOSINHOS PORTUGAL","SONAE 2.D 2º Piso Lugar do Espido, Via Norte 4470-179 Maia PORTUGAL",PORTO 503226696,PT 503226696,"25 935 000,00 €","ZIPPY COMÉRCIO E DISTRIBUIÇÃO, SA","RUA JOÃO MENDONÇA Nº529, 4464-503 SENHORA DA HORA, PORTUGAL",,cliente@zippy.pt
Boboli,"BOBOLI, S.A.","A7 Llinars Park, C. de la Física, 18-20 08450 Llinars del Vallès, BARCELONA, ESPAGNE","A7 Llinars Park, C. de la Física, 18-20 08450 Llinars del Vallès, BARCELONA, ESPAGNE",BARCELONA A08697898,ESA08697898,"73 201,80 €","BOBOLI , S.A.","08450 Llinars de Valles, BARCELONA",,monica_algas@boboli.es
Noukie's,NOUKIES SA,"159A Drève Richelle,1410 Waterloo, Belgique","159A Drève Richelle,1410 Waterloo, Belgique",Nivelles (Belgique) 446 229 791,BE0446229791,"462886,69 €",Amaury Gilliot,"Drève Richelle 159A Bte 7, 1410 Waterloo",,agi@noukies.com
Trois Kilos Sept,NOVATEX SARL,"59, route du Bief du Moulin, 73470 NOVALAISE","59, route du Bief du Moulin, 73470 NOVALAISE",Chambéry 434 542 379,FR14434542379,7 700€,NOVATEX,59 route du Bief du moulin 73470 NOVALAISE,,contact@novatex.fr
Sauthon,SAUTHON INDUSTRIES,ZI Cher du Prat 23007 GUERET,ZI Cher du Prat 23007 GUERET,Guéret B 421 195 298,FR80421195298,3 000 000€,Sauthon Industries,6 ZI Cher du Prat 23000 Guéret,,marketplaces@sauthon.fr
Leadermode,SAS GEODISTRIBUTION,29 rue Léon Frot 75011 Paris,29 rue Léon Frot 75011 Paris,Paris B 503 642 027,FR64503642027,26 400 €,Victor Mamane,"47 rue du general sarrail, 94000 Créteil, France",,mamanevictor@hotmail.com
Bemini,ID PLUS S.A,"341/5 CHAUSSEE BARA, 1410 WATERLOO","341/5 CHAUSSEE BARA, 1410 WATERLOO",BE 0459 643 903,BE 0459 643 903,1 212 500 €,Bernard Gustot,"341 Chaussée Bara, 1410 Waterloo",,info@bemini.be
Émoi Émoi,MBB PARTNERS,"6 rue Debelleyme, 3è étage, appt droite, 75003 Paris, France","6 rue Debelleyme, 3è étage, appt droite, 75003 Paris, France",PARIS 519 833 966,FR27519833966,63 880 €,"Société MBB PARTNERS, marque émoi émoi",6 rue Debelleyme 75003 Paris,France,bonjour@emoi-emoi.com
CHAUSSETTES.COM,THYO,"37, rue des bonnetiers 60220 MOLIENS","37, rue des bonnetiers 60220 MOLIENS",BEAUVAIS 904 023 256,FR 26 904 023 256,5 200 €,THYO SAS,"37, rue des bonnetiers 60220 MOLIENS",,contact@thyo.fr
Boni&Sidonie,BONI&SIDONIE SARL,67 route de Quelvezin 56340 CARNAC,67 route de Quelvezin 56340 CARNAC,LORIENT 844 231 647,FR24844231647,1 000 €,Boniface de Castellane,"67 route de Quelvezin, 56340 Carnac FRANCE",,sav@boniclassic.com
Toys World France,TOYS WORLD GMBH,Hans-Böckler-Straße 55  - 33334 Gütersloh - ALLEMAGNE,Hans-Böckler-Straße 55  - 33334 Gütersloh - ALLEMAGNE,Bielefeld HRB 2427,DE126796566,155 000€,Anton Schumacher,Hans-Böckler-Str. 55 D-33334 Gütersloh,,gpsr@toysworld.de
ASD,ADS SAS,Zone Artisanale la Pitoisière 2 Impasse du Petit Bois72170 MARESCHE,Zone Artisanale la Pitoisière 2 Impasse du Petit Bois72170 MARESCHE,LE MANS 480 862 465,FR12480862465,10 000 €,ASD,ZAC Maine Eco Park 6 rue des chênes 72170 MARESCHE,,contact@asdiscount.com
Les jouets en bois,H.EVENTS HISTOIRE D'EVENEMENTS,8 rue Maurice Raffault - 37420 SAVIGNY EN VERON,8 rue Maurice Raffault - 37420 SAVIGNY EN VERON,Tours 482 829 660,FR20482829660,8 000€,H EVENTS,8 Rue Maurice Raffault 37420 Savigny en Véron,,contact@lesjouetsenbois.com
OXYBUL,OKAIDI,"162 boulevard de Fourmies, 59100 Roubaix, France","162 boulevard de Fourmies, 59100 Roubaix, France",Lille Métropole 398 110 445,FR29398110445,6 483 008 €,Eric Venel,162 bd de Fourmies  BP 615 59061 Roubaix cedex 01,France,evenel@idkids.com
Easykado,HELFRICH FARRJOP SARL,3 rue des Près 67330 KIRRWILLER,3 rue des Près 67330 KIRRWILLER,Savernes 342 690 344,FR54342690344,2 300 000€,Karine Helfrich,3 rue des prés 67330 KIRRWILLER,,karine.helfrich@helfrich.fr
Boulanger,BOULANGER SA,1 Avenue de la Motte - 59810 Lesquin,1 Avenue de la Motte - 59810 Lesquin,Lille 347 384 570,FR78347384570,40 611 564 €,Boulanger,1 avenue de la Motte 59810 Lesquin,,contact@infos.boulanger.com
1001 Jouets,Small Gallery SAS,2 place Charles Fillion  75017 PARIS,2 place Charles Fillion  75017 PARIS,Paris 481 309 227,FR49481309227,120 000 €,Dimitri Petit,2 PL Charles Fillion,,serviceclient@1001jouets.fr
Berceau magique,MEGARA,"108 rue d'Ollioules, 83140 Six Fours les Plages, France","108 rue d'Ollioules, 83140 Six Fours les Plages, France",TOULON 450 289 202,FR28450289202,150 000€,MEGARA,"108 rue d'Ollioules, 83140 Six-Fours-les-plages",,marketplace@megara.fr
Family Concept,SARL LULILO,"200 rue Pierre Carrère, 12000 RODEZ","200 rue Pierre Carrère, 12000 RODEZ",RODEZ 511 648 446,FR84511648446,1 500 000 €,Stéphanie GUIBERT,"1301 Route du Monastère, Parc d'activités Malan, 12510 Olemps",France,stephanie.guibert@lulilo.fr
Born to be Kids,EDEN KIDS,122 avenue roger Salengro 92290 CHATENAY MALABRY,65 rue de Boulainvilliers 75016 PARIS,NANTERRE 982805863,FR72982805863,"120 000,00 €",Anthony CELTON,122 avenue Roger Salengro  92290 Chatenay Malabry,France,Anthony.celton@sanant.fr
Janod officiel,JURATOYS S.A.S,"13, rue de l’Industrie 39270 ORGELET France","13, rue de l’Industrie 39270 ORGELET FRANCE",LONS-LE-SAULNIER 453 389 660,FR 724 533 896 60,1 600 000 €,JURATOYS SAS,"13 Rue de l'Industrie, 39270 ORGELET",,contact-janod-redoute@juratoys.com
Kindsgut,Kindsgut GMBH,"Altonaer Straße 83a, 13581 Berlin, Allemagne","Altonaer Straße 83a, 13581 Berlin, Allemagne",Berlin HRB186546B,DE815695941,25 002€,Kindsgut GmbH,"Altonaer Straße 83A, 13581 Berlin, Germany",,info@kindsgut.de
